name,extID,minswitches,minduration
KRONWEILER (Germany),008025282,2,6.25
LOHNWEILER (Germany),008019715,2,6.683333333333334
RHEINWEILER (Germany),008014419,1,7.1
STEINWEILER (Germany),008036417,1,6.1
SACHSEN(B ANSBACH) (Germany),008022727,1,3.4166666666666665
ALLENSBACH (Germany),008014581,1,7.916666666666667
ALLENSBACH-HEGNE (Germany),008014582,2,8.15
FORNSBACH (Germany),008029584,1,5.416666666666667
ANSPACH NEU (Germany),008011144,1,5.683333333333334
BAERENHECKE-JOHNSBACH (Germany),008006038,1,2.933333333333333
APOLDA (Germany),008016017,1,2.2333333333333334
ARENSHAUSEN (Germany),008016543,1,3.3833333333333333
ARENSDORF(KOETHEN) (Germany),008023122,1,1.9333333333333333
ARNBACH (Germany),008020461,2,5.166666666666667
ARNSCHWANG (Germany),008026266,2,5.5
ARNSBERG(WESTF) (Germany),008008199,1,4.466666666666667
ARNSBERG-NEHEIM-HUES (Germany),008008201,1,4.366666666666666
ARNSBERG-OEVENTROP (Germany),008008198,1,4.583333333333333
WEINSBERG (Germany),008029654,1,5.533333333333333
ARNSTADT HBF (Germany),008016173,1,2.15
ARNSTADT SUED (Germany),008016184,1,2.216666666666667
HOHENSTEIN-ERNSTTHAL (Germany),008006633,2,3.2
LICHTENSTEIN ERNST-SCHNELLER-SIEDLUNG (Germany),008014246,3,3.5166666666666666
TRAUNSTEIN (Germany),008020117,1,5.316666666666666
ARTERN (Germany),008016477,1,2.683333333333333
REINSDORF(ARTERN) (Germany),008016474,1,2.65
HARTERSHOFEN (Germany),008022696,2,4.533333333333333
HINTERZARTEN (Germany),008014372,1,7.033333333333333
ARZBERG(OBERFR) (Germany),008026073,2,5.033333333333333
HERZBERG(HARZ) (Germany),008013088,1,3.066666666666667
HERZBERG(ELSTER) (Germany),008023234,0,1.25
HERZBERG SCHLOSS (Germany),008013106,1,3.033333333333333
HERZBERG(MARK) (Germany),008028039,0,1.0833333333333333
SCHWARZENBERG HP (Germany),008006666,2,4.433333333333334
HORNBERG(SCHWARZW) (Germany),008014511,1,6.85
BAD LAUTERBERG IM HARZ BARBIS (Germany),008013087,1,3.316666666666667
SCHWARZENBERG(ERZG) (Germany),008006665,2,4.35
SCHWARZENBERG-NEUWELT (Germany),008006664,2,4.3
ASCHAFFENBURG HBF (Germany),008022610,1,4.583333333333333
ASCHAFFENBURG SUED (Germany),008022611,2,5.1
ASCHAFFENBURG-OBERNAU (Germany),008022626,2,5.166666666666667
ASCHAFFENBURG HOCHSCHULE (Germany),008088589,2,5.066666666666666
OFFENBURG KREISSCHULZENTRUM (Germany),008063797,1,6.416666666666667
OFFENBURG (Germany),008014309,0,5.8
MAINASCHAFF (Germany),008011348,2,4.8
ASCHAU(CHIEMGAU) (Germany),008020153,2,5.316666666666666
OSCHERSLEBEN(BODE) (Germany),008024149,1,2.5
ASCHEBERG(HOLST) (Germany),008001366,2,3.7
ASCHEBERG(WESTF) (Germany),008021546,1,4.6
FALLERSLEBEN (Germany),008013018,1,1.7333333333333334
WANDERSLEBEN (Germany),008016049,1,1.9833333333333334
OCHTMERSLEBEN (Germany),008024030,1,2.6166666666666667
ASPERG (Germany),008029016,2,6.066666666666666
BREST-ASPE (Germany),008058586,3,3.4166666666666665
JUELICH AN DEN ASPEN (Germany),008030690,2,6.333333333333333
ATTENDORN (Germany),008008340,2,5.933333333333334
ALT HUETTENDORF (Germany),008028251,1,Inf
ROTTENDORF (Germany),008022532,1,3.9166666666666665
BAD SCHLEMA (Germany),008006659,2,4.066666666666666
BAD BERLEBURG-AUE-WI (Germany),008008571,2,6.3
BAD SCHANDAU (Germany),008006006,0,2.2666666666666666
BAD SCHWARTAU (Germany),008001633,1,2.933333333333333
BAD SALZSCHLIRF (Germany),008005620,1,4.116666666666666
BAD SCHUSSENRIED (Germany),008029148,1,6.183333333333334
BAD SCHOENBORN SUED (Germany),008014038,1,5.933333333333334
AUERBACH(V) UNT BF (Germany),008059013,2,4.133333333333334
AUERBACH(V) OB BF (Germany),008059001,2,4.15
"AUERBACH(B MOSBACH, BADEN) (Germany)",008014151,1,6.25
BENSHEIM-AUERBACH (Germany),008011304,1,4.733333333333333
OBERERBACH-NIEDERERB (Germany),008019657,2,6.033333333333333
GROSSENLUEDER-OBERBIMBACH (Germany),008005622,1,3.966666666666667
BLAIBACH(OBERPF) (Germany),008026261,3,5.583333333333333
ROHRBACH(OBERBAY) (Germany),008026375,2,6.05
REICHENBACH(VOGTL) OB BF (Germany),008006704,1,3.433333333333333
BAUERBACH (Germany),008014100,2,6.483333333333333
AUGSBURG HBF (Germany),008002140,0,4.5
AUGSBURG MESSE (Germany),008063237,1,4.683333333333334
AUGSBURG-HOCHZOLL (Germany),008002072,1,4.533333333333333
AUGSBURG-INNINGEN (Germany),008002172,1,4.75
AUGSBURG HAUNSTETTERSTRASSE (Germany),008002142,1,4.6
AUGSBURG MORELLSTR. (Germany),008002170,1,4.633333333333334
AUGSBURG-OBERHAUSEN (Germany),008002069,1,4.783333333333333
FRIEDBERG(AUGSBURG) (Germany),008002139,1,4.766666666666667
AUGUSTUSBURG-ERDMNSD (Germany),008006417,2,3.2333333333333334
AUGUSTUSBURG-HENRSDF (Germany),008006418,2,3.316666666666667
AUGUSTFEHN (Germany),008021234,1,4.35
AULENDORF (Germany),008029149,1,6.266666666666667
LALENDORF (Germany),008027028,1,2.8666666666666667
AHNATAL-WEIMAR (Germany),008005293,1,3.4833333333333334
WEIDA (Germany),008016734,1,2.6
WEIDA MITTE (Germany),008065599,1,2.75
WEIDA ALTSTADT (Germany),008016735,1,2.783333333333333
ALTMITTWEIDA (Germany),008006324,2,3.2333333333333334
WEIDING (Germany),008026265,2,5.45
WEIDENTHAL (Germany),008019406,1,5.616666666666666
AURINGEN-MEDENBACH (Germany),008011024,2,5.116666666666666
BABENHAUSEN(HESS) (Germany),008011346,1,4.616666666666666
BABENHAUSEN-HERGERSH (Germany),008011345,2,4.766666666666667
BABENHAUSEN LANGSTADT (Germany),008011369,1,4.716666666666667
BAAR-EBENHAUSEN (Germany),008093800,1,3.9833333333333334
SCHROBENHAUSEN (Germany),008002132,1,4.266666666666667
EBENHAUSEN-SCHAEFTLARN (Germany),008020509,2,4.516666666666667
EBENHAUSEN(UNTERFR) (Germany),008022467,1,3.6
BILLENHAUSEN (Germany),008002097,1,6.066666666666666
BERLIN-HOHENSCHOENHAUSEN (S) (Germany),008085771,0,Inf
BACHARACH (Germany),008019035,1,6.133333333333334
BACHFELD (Germany),008016230,1,4.15
BACKNANG-MAUBACH (Germany),008029576,2,5.483333333333333
BACKNANG (Germany),008029577,1,5.316666666666666
BAD AIBLING (Germany),008020252,2,5.083333333333333
BAD AIBLING KURPARK (Germany),008072098,2,5.05
BAD BELLINGEN (Germany),008014418,1,7.05
BAD FALLINGBOSTEL (Germany),008013670,1,3.2333333333333334
BAD FALLINGBOSTEL-DO (Germany),008013669,1,3.3333333333333335
WAIBLINGEN (Germany),008029515,1,5.616666666666666
BAD KROZINGEN (Germany),008014408,1,6.733333333333333
BAD KISSINGEN (Germany),008022551,2,4.066666666666666
WAIBLINGEN-NEUST.-H. (Germany),008029572,2,5.683333333333334
BAD AROLSEN (Germany),008005297,1,4.266666666666667
BAD AROLSEN-MENGERIN (Germany),008005298,1,4.333333333333333
BAD SEBASTIANSWEILER-BELSEN (Germany),008029339,2,7.15
BAD SAAROW (Germany),008003293,1,1.1166666666666667
BAD OEYNHAUSEN (Germany),008013585,0,2.8333333333333335
BAD KOESEN (Germany),008016012,1,1.9666666666666666
BAD SAAROW KLINIKUM (Germany),008093801,1,1.15
BAD BEVENSEN (Germany),008001170,1,3.216666666666667
BAD SALZHAUSEN (Germany),008011222,2,5.383333333333334
BAD SASSENDORF (Germany),008010372,1,4.083333333333333
BAD BELZIG (Germany),008003410,0,1.0166666666666666
BAD SALZIG(BOPPARD) (Germany),008019031,1,6.483333333333333
BAD VILBEL (Germany),008011151,2,4.716666666666667
BAD VILBEL SUED (Germany),008011150,2,4.683333333333334
BAD VILBEL-DORTELWEI (Germany),008011153,2,4.766666666666667
BAD TOELZ (Germany),008053402,2,5.233333333333333
BAD BENTHEIM (Germany),008021156,0,3.9
BAD MERGENTHEIM (Germany),008029740,2,5.733333333333333
BAD MERGENTHEIM-EDEL (Germany),008029741,2,6.15
BAD MERGENTHEIM-MARK (Germany),008029737,2,5.85
BAD NAUHEIM (Germany),008011402,1,5.016666666666667
BAD DUERKHEIM (Germany),008019354,2,5.733333333333333
BAD WINDSHEIM (Germany),008022514,2,3.7333333333333334
BAD SOBERNHEIM (Germany),008025269,1,6.083333333333333
BAD GANDERSHEIM (Germany),008013098,1,2.85
BAD DUERKHEIM-TRIFT (Germany),008019359,2,5.733333333333333
BAD BERGZABERN (Germany),008019469,2,6.066666666666666
BAD BERLEBURG-BERGHA (Germany),008008570,2,6.433333333333334
BAD BERKA (Germany),008016030,2,2.45
BAD BERLEBURG (Germany),008008568,2,6.533333333333333
BAD BERKA-TANNRODA (Germany),008016035,2,2.5833333333333335
BAD BERLEBURG-RAUMLAND (Germany),008008569,2,6.466666666666667
BAD BERKA ZEUGHAUSPLATZ (Germany),008061638,2,2.4166666666666665
BAD CAMBERG (Germany),008011486,1,5.05
BAD SEGEBERG (Germany),008047221,2,3.283333333333333
MUENCHEN(BAD BERKA) (Germany),008016034,2,2.55
BERINGEN BAD BF (Germany),008014484,2,8.233333333333333
BAD HOMBURG (Germany),008011137,2,4.783333333333333
BAD HARZBURG (Germany),008013390,1,2.8333333333333335
BERTHELSDORF(ERZGEBIRGE) ORT (Germany),008046236,2,4.166666666666667
BAD HOEHENSTADT (Germany),008026514,1,6.433333333333334
BAD LANGENSALZA (Germany),008016578,1,2.5833333333333335
BAD LOBENSTEIN (Germany),008016382,1,4.383333333333334
BIBRA (Germany),008016141,2,4.083333333333333
BAD BRAMSTEDT (Germany),008040419,2,3.35
BAD BRAMBACH (Germany),008006729,2,4.766666666666667
BAD BRAMSTEDT KURHAUS (Germany),008040418,2,3.316666666666667
BIBERACH(BADEN) (Germany),008014499,1,6.483333333333333
BAD BIRNBACH (Germany),008026523,2,6.466666666666667
BAD BLANKENBURG(THUERINGERW) (Germany),008016290,1,2.9833333333333334
BERLIN-BLANKENBURG (Germany),008007574,0,Inf
BLANKENBURG(HARZ) (Germany),008024456,1,3.183333333333333
HAMBURG-BLANKENESE (Germany),008001107,2,2.3
BLANKENBACH (Germany),008047710,1,5.333333333333333
BLANKENBERG(SIEG) (Germany),008015590,1,5.65
BLANKENBERG(MECKL) (Germany),008027018,1,2.8666666666666667
BRAMSTEDT(B SYKE) (Germany),008021047,2,4.3
BADDECKENSTEDT (Germany),008013376,1,3.0833333333333335
BAD STEBEN (Germany),008026021,2,4.716666666666667
BAD ELSTER (Germany),008006726,2,4.516666666666667
BAD BREISIG (Germany),008019006,1,5.85
BAD REICHENHALL (Germany),008020105,2,6.1
BAD FREIENWALDE (Germany),008028246,1,1.05
BAD MUENSTEREIFEL (Germany),008015449,2,6.35
BAD MUENDER(DEISTER) (Germany),008013518,1,3.0166666666666666
BAD REICHENHALL-KIRCHBERG (Germany),008020104,2,6.783333333333333
BAD MUENSTEREIFEL-ARLOFF (Germany),008015447,2,6.233333333333333
BAD MUENSTEREIFEL-IVERSHEIM (Germany),008015448,2,6.283333333333333
BAD RAPPENAU (Germany),008014196,1,5.783333333333333
BAD RAPPENAU-BABSTAD (Germany),008014195,2,6.483333333333333
BAD RAPPENAU-GROMBAC (Germany),008014194,2,6.566666666666666
BAD ZWISCHENAHN (Germany),008021229,1,4.133333333333334
BAD HERRENALB (Germany),008040618,2,6.2
BAD NEUENAHR (Germany),008025030,2,6.55
BAD FRIEDRICHSHALL HBF (Germany),008029637,1,5.983333333333333
BAD DUERRENBERG (Germany),008023683,1,1.9666666666666666
BAD GODESBERG (BONN) (Germany),008015490,1,5.566666666666666
BAD DOBERAN (Germany),008027123,1,3.3833333333333333
BAD DOBERAN GOETHESTRASSE (Germany),008027901,2,3.683333333333333
BAD DOBERAN STADTMITTE (Germany),008017791,2,3.6166666666666667
BAD LAASPHE-OBERNDORF (Germany),008008320,2,5.766666666666667
SANDHAGEN(B BAD DOB) (Germany),008027120,1,3.15
BAD DRIBURG(WESTF) (Germany),008013321,2,4.383333333333334
BAD HOMBURG-SAALBURG (Germany),008011142,1,5.516666666666667
BAD LIEBENZELL (Germany),008029470,2,6.55
BAD LIEBENWERDA (Germany),008004303,1,1.6333333333333333
BAD LIEBENZELL-MONBA (Germany),008029469,2,6.5
